last_name|first_name  |fest_year|watched_counter|
---------+------------+---------+---------------+
last89   |first89     |     2020|              4|
last89   |first89     |     2020|              4|
last89   |first89     |     2020|              4|
last89   |first89     |     2020|              4|
last89   |first89     |     2020|              4|
last548  |first548    |     2020|              4|
last548  |first548    |     2020|              4|
last548  |first548    |     2020|              4|
last548  |first548    |     2020|              4|
last548  |first548    |     2020|              4|
last608  |first608    |     2020|              4|
last608  |first608    |     2020|              4|
last608  |first608    |     2020|              4|
last608  |first608    |     2020|              4|
last608  |first608    |     2020|              4|
last938  |first938    |     2020|              4|
last938  |first938    |     2020|              4|
last938  |first938    |     2020|              4|
last938  |first938    |     2020|              4|
last938  |first938    |     2020|              4|
last96   |first96     |     2020|              4|
last96   |first96     |     2020|              4|
last96   |first96     |     2020|              4|
last96   |first96     |     2020|              4|
last96   |first96     |     2020|              4|
last638  |first638    |     2020|              4|
last638  |first638    |     2020|              4|
last638  |first638    |     2020|              4|
last638  |first638    |     2020|              4|
last638  |first638    |     2020|              4|
last836  |first836    |     2020|              5|
last43   |first43     |     2020|              5|
last317  |first317    |     2021|              6|
last191  |first191    |     2021|              6|
last191  |first191    |     2022|             14|
last317  |first317    |     2022|             14|
last172  |first172    |     2022|             21|
last489  |first489    |     2022|             21|
last733  |first733    |     2023|              4|
last733  |first733    |     2023|              4|
last733  |first733    |     2023|              4|
last733  |first733    |     2023|              4|
last608  |first608    |     2023|              4|
last608  |first608    |     2023|              4|
last608  |first608    |     2023|              4|
last608  |first608    |     2023|              4|
last758  |first758    |     2023|              4|
last758  |first758    |     2023|              4|
last758  |first758    |     2023|              4|
last758  |first758    |     2023|              4|
last96   |first96     |     2023|              4|
last96   |first96     |     2023|              4|
last96   |first96     |     2023|              4|
last96   |first96     |     2023|              4|
last553  |first553    |     2023|              4|
last553  |first553    |     2023|              4|
last553  |first553    |     2023|              4|
last553  |first553    |     2023|              4|
last191  |first191    |     2023|             19|
last317  |first317    |     2023|             19|
last172  |first172    |     2023|             28|
last489  |first489    |     2023|             28|
last586  |first586    |     2024|              4|
last586  |first586    |     2024|              4|
last586  |first586    |     2024|              4|
last448  |first448    |     2024|              4|
last448  |first448    |     2024|              4|
last448  |first448    |     2024|              4|
last96   |first96     |     2024|              4|
last96   |first96     |     2024|              4|
last96   |first96     |     2024|              4|
last580  |first580    |     2024|              4|
last580  |first580    |     2024|              4|
last580  |first580    |     2024|              4|
last489  |first489    |     2024|             17|
last172  |first172    |     2024|             17|
last758  |first758    |     2025|              4|
last758  |first758    |     2025|              4|
last758  |first758    |     2025|              4|
last758  |first758    |     2025|              4|
last758  |first758    |     2025|              4|
last679  |first679    |     2025|              4|
last679  |first679    |     2025|              4|
last679  |first679    |     2025|              4|
last679  |first679    |     2025|              4|
last679  |first679    |     2025|              4|
last863  |first863    |     2025|              4|
last863  |first863    |     2025|              4|
last863  |first863    |     2025|              4|
last863  |first863    |     2025|              4|
last863  |first863    |     2025|              4|
last263  |first263    |     2025|              4|
last263  |first263    |     2025|              4|
last263  |first263    |     2025|              4|
last263  |first263    |     2025|              4|
last263  |first263    |     2025|              4|
last724  |first724    |     2025|              4|
last724  |first724    |     2025|              4|
last724  |first724    |     2025|              4|
last724  |first724    |     2025|              4|
last724  |first724    |     2025|              4|
last51   |first51     |     2025|              4|
last51   |first51     |     2025|              4|
last51   |first51     |     2025|              4|
last51   |first51     |     2025|              4|
last51   |first51     |     2025|              4|
forquery9|testvisitor2|     2025|              5|
forquery9|testvisitor1|     2025|              5|
last191  |first191    |     2026|              4|
last317  |first317    |     2026|              4|
last489  |first489    |     2026|             14|
last172  |first172    |     2026|             14|
last489  |first489    |     2029|             10|
last172  |first172    |     2029|             10|
